function,normalized,kind,callsites_count,files,in_chain_all,canonical_suite,has_test_suite,notes
GXSetProjection,gx_set_projection,fn,4,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_projection,y,
GXSetScissor,gx_set_scissor,fn,5,init.c;printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_scissor,y,
GXSetTevAlphaIn,gx_set_tev_alpha_in,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_alpha_in,y,
GXSetTevAlphaOp,gx_set_tev_alpha_op,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_alpha_op,y,
GXSetTevColor,gx_set_tev_color,fn,2,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_color,y,
GXSetTevColorIn,gx_set_tev_color_in,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_color_in,y,
GXSetTevColorOp,gx_set_tev_color_op,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_color_op,y,
GXSetTevOp,gx_set_tev_op,fn,4,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_op,y,
GXSetTevOrder,gx_set_tev_order,fn,6,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tev_order,y,
GXSetTexCoordGen,gx_set_tex_coord_gen,fn,3,printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_tex_coord_gen,y,
GXSetTexCopyDst,gx_set_tex_copy_dst,fn,1,wipe.c,y,tests/sdk/gx/gx_set_tex_copy_dst,y,
GXSetTexCopySrc,gx_set_tex_copy_src,fn,1,wipe.c,y,tests/sdk/gx/gx_set_tex_copy_src,y,
GXSetVCacheMetric,gx_set_vcache_metric,fn,1,main.c,y,tests/sdk/gx/gx_set_vcache_metric,y,
GXSetViewport,gx_set_viewport,fn,6,init.c;printfunc.c;wipe.c,y,tests/sdk/gx/gx_set_viewport,y,
GXSetViewportJitter,gx_set_viewport_jitter,fn,2,init.c;printfunc.c,y,tests/sdk/gx/gx_set_viewport_jitter,y,
